EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;73350;67482;7335;6073;0;1467;1;0;0;0;50;5000;2,2;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;97500;89700;9750;8073;0;1950;1;0;0;0;50;5000;2,767;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;66500;61180;6650;5506;0;1330;1;0;0;0;50;5000;2,667;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;46;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;83450;76774;8345;6909;0;1669;1;0;0;0;50;5000;2,833;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;46;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;59550;54786;5955;4930;0;1191;1;0;0;0;50;5000;2,167;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2023;8;SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;0;0;0;;;;;;;;;;;;;;0
